ID,Región,Pacto,Comuna,Nombre,¿Nuevo o Reelecto?,BANCADA AchM,Militancia,CUPO,Antigua Militancia (si es IND)
9,Región del Maule,Contigo Chile Mejor,Maule,Pablo Luna A.,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
9,Región del Maule,Republicanos,Parral,Patricio Ojeda A.,NUEVO,#N/A,INDEPENDIENTES-REP,,
8,Región del Maule,Contigo Chile Mejor,Pelluhue,María Reyes O.,REELECTO,#N/A,INDEPENDIENTE-CChM,DC,
9,Región del Maule,Contigo Chile Mejor,Pencahue,José Tobar A.,REELECTO,PARTIDO RADICAL,INDEPENDIENTES-CChM,PR,
9,Región del Maule,Contigo Chile Mejor,Rauco,Claudia Medina H,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,INDEPENDIENTES-CChM,DC,
9,Región del Maule,Chile Vamos,Retiro,Rafael Ramírez P.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
9,Región del Maule,Chile Vamos,Río Claro,Américo Guajardo O.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
9,Región del Maule,Chile Vamos,Romeral,José Arellano L.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,RENOVACION NACIONAL,,
8,Región del Maule,Chile Vamos,Sagrada Familia,Osvaldo Jorquera P.,NUEVO,#N/A,UNION DEMOCRATA INDEPENDIENTE,,
9,Región del Maule,Contigo Chile Mejor,San Javier,Jorge Silva S.,NUEVO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
8,Región del Maule,Chile Vamos,Talca,Juan Díaz A.,REELECTO,#N/A,RENOVACION NACIONAL,,
9,Región del Maule,Chile Vamos,Vichuquén,Patricio Rivera B.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
9,Región del Maule,Chile Vamos,Yerbas Buenas,Jonathan Norambuena B.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,UDI,
9,Región del Maule,Fuera de Pacto,Pelarco,Boris Cabrera L.,NUEVO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTE-FP,,PPD
9,Región del Maule,Fuera de Pacto,Portezuelo,Juan Ramírez S.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
9,Región del Maule,Fuera de Pacto,San Clemente,Juan Rojas V.,NUEVO-RETORNO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,DC
9,Región del Maule,Fuera de Pacto,Teno,Wildo Farías G.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PRO
